bookingStatus,status1Day,status2Days,status1Week,status1Month
28,0,0,6,11
0,0,0,0,0
73,0,3,5,24
15,0,0,0,0
40,0,5,12,30
0,0,0,0,0
3,0,0,0,0
42,0,20,20,29
171,0,0,0,91
51,0,0,0,0
217,16,34,38,83
0,0,0,0,0
0,0,0,0,0
195,0,45,56,131
25,0,3,4,8
40,4,29,29,37
7,0,4,4,4
105,0,29,31,53
32,0,0,3,4
14,0,1,1,5
20,0,4,5,9
0,0,0,0,0
84,0,11,17,34
0,0,0,0,0
0,0,0,0,0
79,0,45,45,57
123,0,17,35,56
180,82,91,111,126
109,0,0,4,25
103,28,32,48,51
70,0,0,4,8
80,0,0,0,43
211,0,68,90,128
10,0,1,2,2
221,0,10,21,35
3,0,0,0,1
142,0,18,28,67
0,0,0,0,0
14,1,10,10,10
125,18,35,45,58
74,0,0,0,0
65,0,0,0,6
4,0,0,0,4
1,0,1,1,1
25,0,0,0,0
48,0,0,0,4
0,0,0,0,0
0,0,0,0,0
87,19,45,54,56
22,0,0,0,0
0,0,0,0,0
104,0,0,8,53
0,0,0,0,0
40,0,0,0,0
295,80,85,162,177
0,0,0,0,0
0,0,0,0,0
10,0,4,5,8
42,0,0,0,0
49,0,0,1,3
65,35,45,48,55
25,0,0,0,0
63,0,0,0,0
7,0,0,6,7
84,0,0,36,45
6,0,0,0,0
26,0,0,0,0
107,0,0,0,14
12,0,0,0,0
25,0,0,0,13
19,0,0,0,7
37,2,7,7,7
131,0,0,0,0
31,1,11,14,22
0,0,0,0,0
165,25,42,47,65
0,0,0,0,0
23,13,20,22,23
64,0,0,2,33
0,0,0,0,0
77,0,0,0,4
122,0,7,27,79
46,0,0,0,0
50,0,0,9,23
0,0,0,0,0
35,0,0,0,3
5,0,0,0,0
0,0,0,0,0
15,0,0,0,0
31,0,5,5,9
0,0,0,0,0
0,0,0,0,0
21,0,9,9,9
22,6,7,9,13
35,0,0,0,11
4,0,0,0,0
0,0,0,0,0
0,0,0,0,0
22,16,16,16,16
110,0,0,36,69
61,0,0,0,17
45,7,12,14,31
19,4,10,10,10
35,9,10,19,27
133,24,24,91,113
10,2,6,6,10
27,2,12,14,19
49,0,0,0,0
69,11,25,40,50
49,0,4,8,17
15,0,0,0,0
38,0,0,0,0
37,10,13,16,23
30,5,6,10,15
38,0,0,0,7
132,0,0,0,13
0,0,0,0,0
245,0,15,20,99
101,0,0,0,11
111,0,0,0,24
82,0,0,0,9
0,0,0,0,0
3,0,0,0,1
38,0,32,34,36
21,0,0,0,0
36,0,3,5,8
107,0,0,8,41
190,24,26,50,72
0,0,0,0,0
8,1,1,2,6
0,0,0,0,0
48,19,27,28,30
10,0,0,8,10
102,7,8,37,39
48,0,0,3,22
44,0,1,1,16
3,0,0,0,0
0,0,0,0,0
6,0,0,0,0
54,0,0,2,12
27,0,0,11,19
35,0,1,3,5
8,0,0,0,0
67,,6,10,29
13,0,0,0,0
195,27,33,37,63
13,0,5,11,13
0,0,0,0,0
117,0,0,24,78
33,6,15,17,25
0,0,0,0,0
8,0,1,3,6
35,0,0,0,0
7,6,6,6,7
13,0,0,0,4
41,3,9,13,23
32,10,10,13,22
0,0,0,0,0
21,1,5,12,16
90,0,0,0,14
18,6,10,12,14
52,0,0,0,14
37,18,19,19,23
21,0,0,0,0
97,23,35,36,50
11,0,4,6,6
5,0,0,0,0
78,2,2,3,18
12,6,7,9,12
19,0,0,0,3
26,0,0,2,18
165,11,36,44,76
64,0,5,5,13
30,0,0,0,12
0,0,0,0,0
5,2,2,2,2
43,0,8,10,18
45,0,0,0,0
33,0,0,0,0
8,0,3,5,8
37,0,0,0,9
19,3,3,7,19
5,1,1,4,5
49,18,20,20,20
24,1,4,4,13
0,0,0,0,0
82,1,38,42,56
82,15,26,30,41
63,12,16,27,33
113,0,0,0,28
148,0,2,40,63
0,0,0,0,0
10,0,2,2,2
128,10,22,27,63
17,0,8,8,12
146,0,0,42,88
180,26,31,36,89
32,0,0,0,0
24,0,3,4,15
23,0,0,0,0
132,35,36,41,79
25,0,0,0,7
174,0,33,94,98
55,20,20,31,35
0,0,0,0,0
0,0,0,0,0
17,4,5,5,14
12,0,0,0,6
72,8,8,12,29
9,0,1,2,6
6,0,2,3,3
64,0,0,0,0
23,19,19,21,23
43,19,29,32,34
2,0,0,2,2
30,17,18,21,26
37,0,8,10,20
57,0,0,0,9
27,9,18,21,22
203,11,27,31,78
16,0,0,0,10
20,0,0,0,7
29,11,15,15,19
45,0,0,0,32
19,0,0,0,7
10,0,0,0,0
43,0,0,0,0
26,0,15,20,21
6,0,0,0,0
2,0,2,2,2
18,0,0,0,0
0,0,0,0,0
29,19,19,20,20
69,0,0,0,0
75,0,0,0,26
22,0,8,10,12
53,0,27,29,30
11,0,0,0,0
17,0,0,0,0
7,0,0,0,0
129,0,0,0,64
141,0,0,1,24
32,14,14,14,15
1,0,0,0,0
58,0,0,0,0
101,0,0,0,0
53,5,20,24,38
10,0,5,5,7
1,1,1,1,1
39,15,22,22,28
20,12,14,14,16
39,3,8,11,12
25,4,4,11,12
0,0,0,0,0
47,0,0,0,0
30,0,0,0,0
50,0,0,0,1
0,0,0,0,0
14,0,0,3,7
0,0,0,0,0
13,0,1,1,3
57,12,25,28,29
50,0,20,20,35
21,5,10,14,16
73,0,0,7,27
35,0,12,15,22
134,0,0,0,20
19,0,0,0,11
0,0,0,0,0
0,0,0,0,0
75,0,0,0,13
77,0,0,9,19
53,0,12,29,36
21,0,0,0,0
31,0,0,0,12
31,5,10,12,13
15,0,0,0,0
98,0,0,0,54
72,0,0,32,37
9,0,0,0,0
3,0,1,1,1
2,0,0,0,0
59,12,24,24,35
17,5,5,7,7
58,6,25,26,29
12,0,0,0,0
303,0,62,75,119
82,5,8,33,38
179,0,22,30,78
0,0,0,0,0
68,0,0,0,0
0,0,0,0,0
13,0,0,0,0
56,0,0,26,38
10,1,3,3,3
18,3,3,4,7
9,0,4,6,9
119,0,2,12,52
160,0,0,20,77
25,0,0,8,14
138,0,0,0,36
215,0,20,47,103
63,0,13,27,40
9,0,0,0,2
4,4,4,4,4
40,0,0,0,7
10,9,9,9,9
10,0,3,3,9
19,8,11,12,13
0,0,0,0,0
9,0,0,4,5
44,0,4,9,15
50,0,0,2,34
17,0,14,14,14
0,0,0,0,0
14,0,0,0,1
43,0,0,0,30
16,0,3,4,9
70,22,22,39,47
237,0,15,16,66
9,0,0,2,6
0,0,0,0,0
33,0,2,9,24
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
15,0,11,11,13
74,0,0,0,2
0,0,0,0,0
6,5,5,5,5
17,1,4,4,4
68,10,18,24,40
0,0,0,0,0
0,0,0,0,0
42,1,10,14,22
21,4,14,18,19
108,56,57,74,0
26,13,19,19,20
6,1,1,1,1
20,0,0,1,13
0,0,0,0,0
20,7,9,11,13
2,0,0,0,0
9,0,5,5,9
3,0,0,0,0
86,0,0,0,57
41,0,0,0,23
7,0,7,7,7
302,29,34,46,145
45,0,24,27,28
410,83,112,129,204
28,0,0,0,28
0,0,0,0,0
223,47,60,82,142
47,12,16,21,27
8,0,0,0,3
53,0,0,1,1
8,0,0,4,6
75,0,40,48,53
12,0,0,0,8
161,0,0,10,69
13,0,2,3,6
95,0,11,22,42
4,1,4,4,4
19,0,0,0,9
95,0,0,0,0
7,0,0,2,5
43,27,27,38,33
31,0,0,1,19
107,21,38,45,64
13,0,0,10,10
25,0,0,0,0
0,0,0,0,0
17,0,13,16,16
16,0,0,0,0
0,0,0,0,0
94,0,43,44,49
105,0,44,48,71
82,0,26,32,44
0,0,0,0,0
50,0,0,0,0
16,0,2,5,9
55,30,35,36,37
54,0,5,7,35
23,0,0,5,9
113,15,23,31,43
30,0,0,0,0
0,0,0,0,0
35,0,0,5,12
118,0,0,0,21
0,0,0,0,0
0,0,0,0,0
6,1,1,4,4
15,2,4,5,6
34,11,17,20,26
6,0,3,3,4
38,0,0,0,0
4,0,1,1,4
0,0,0,0,0
163,53,69,75,105
162,56,90,93,108
0,0,0,0,0
14,0,1,3,5
17,0,0,0,0
0,0,0,0,0
68,26,48,51,53
90,75,82,82,82
94,0,0,0,5
249,19,62,80,135
4,,1,1,1
43,0,2,15,28
94,0,0,0,10
7,0,0,0,0
19,4,6,7,10
75,0,0,0,0
12,0,0,4,10
0,0,0,0,0
84,6,14,27,51
6,0,0,0,0
0,0,0,0,0
15,0,5,8,12
68,0,0,0,0
178,9,15,21,38
38,0,0,0,0
25,1,6,10,12
21,0,0,0,6
16,0,2,4,11
0,0,0,0,0
89,0,0,1,21
13,2,4,4,9
69,0,20,27,52
148,0,0,0,10
152,0,17,36,64
0,0,0,0,0
0,0,0,0,0
20,0,7,12,17
55,0,10,28,37
22,4,15,16,18
0,0,0,0,0
232,0,14,20,104
124,10,17,26,56
170,13,25,76,103
126,5,23,33,97
56,22,32,33,40
79,0,0,1,7
19,1,1,1,1
30,0,8,9,10
197,3,7,7,32
54,0,4,7,23
231,56,79,93,174
71,0,13,22,31
63,0,0,0,5
110,14,18,32,90
17,7,10,11,15
18,0,0,0,0
77,0,0,0,0
40,8,10,19,27
41,9,11,20,28
280,0,0,4,90
62,8,32,46,48
7,0,7,7,7
12,0,0,2,2
6,1,2,2,2
0,0,0,0,0
45,0,0,0,28
0,0,0,0,0
107,0,0,0,38
138,0,76,81,108
59,0,0,0,21
12,0,0,0,6
0,0,0,0,0
116,0,0,0,20
72,0,22,29,35
195,3,34,59,115
34,0,0,0,12
186,90,94,105,158
115,0,10,22,63
10,0,0,0,0
9,0,1,1,3
9,0,0,0,0
30,0,0,0,6
70,0,16,21,37
0,0,0,0,0
221,0,30,42,48
4,2,2,3,4
2,2,2,2,2
94,34,49,55,70
48,0,21,24,0
0,0,0,0,0
70,0,0,1,25
0,0,0,0,0
38,0,1,2,9
13,0,0,0,0
35,0,5,7,16
25,0,0,0,0
30,0,0,0,0
19,0,4,6,8
0,0,0,0,0
309,47,73,97,134
9,0,1,3,8
21,0,12,14,15
4,0,0,0,0
0,0,0,0,0
59,0,0,0,0
52,0,0,0,6
39,15,22,25,25
0,0,0,0,0
50,0,0,7,23
78,42,59,60,67
45,0,4,11,13
0,0,0,0,0
69,0,35,36,40
1,0,0,0,0
25,0,0,2,6
11,0,0,0,0
83,0,28,37,53
19,0,15,16,16
244,45,62,69,111
29,0,0,0,0
30,0,2,14,27
145,0,39,52,78
25,0,0,0,6
39,0,0,0,0
14,0,0,9,9
25,0,0,2,4
60,0,0,0,0
58,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
12,0,2,4,9
5,0,0,0,0
47,20,22,23,27
130,1,9,27,80
5,0,0,0,4
0,0,0,0,0
104,0,19,23,61
19,0,0,0,6
4,0,0,0,0
45,0,5,14,26
51,0,30,39,39
89,0,28,43,75
9,5,6,9,9
43,0,5,11,25
75,0,17,24,50
44,0,9,16,34
0,0,0,0,0
31,10,12,15,15
18,0,0,0,0
0,0,0,0,0
40,0,0,0,0
152,0,12,33,53
10,0,0,0,0
17,0,0,0,2
28,0,3,7,12
30,0,0,0,6
184,0,13,37,93
158,0,48,59,89
53,0,27,29,37
79,0,1,6,50
60,0,0,0,18
0,0,0,0,0
0,0,0,0,0
31,0,0,2,16
15,6,6,6,9
60,1,1,8,22
39,38,38,38,38
8,5,8,8,8
102,5,29,37,62
165,11,30,32,40
96,0,0,0,43
45,17,26,31,36
51,12,13,23,27
136,0,0,0,59
8,3,6,6,6
55,0,24,37,40
162,25,40,54,73
96,0,43,52,59
214,57,85,86,125
24,0,18,20,23
26,18,19,20,20
35,0,10,12,12
47,0,0,0,22
38,12,13,14,19
8,0,0,2,3
23,12,13,13,13
214,10,20,36,87
12,0,0,0,0
10,0,0,0,10
0,0,0,0,0
35,0,0,0,0
141,0,0,0,30
188,31,75,87,113
0,0,0,0,0
33,0,0,0,0
0,0,0,0,0
109,0,0,0,34
91,0,4,8,20
4,0,0,0,0
0,0,0,0,0
110,0,0,0,30
60,0,0,0,3
52,0,19,30,32
70,0,35,43,54
14,0,0,0,0
14,0,0,0,0
88,0,7,12,24
0,0,0,0,0
19,0,6,7,12
19,0,0,0,7
4,0,0,0,1
0,0,0,0,0
24,0,11,12,15
0,0,0,0,0
9,0,0,0,9
60,0,18,24,34
54,0,0,2,22
62,0,24,25,37
0,0,0,0,0
20,10,10,12,15
13,0,0,0,0
44,0,0,0,0
85,8,32,33,41
25,0,0,5,9
12,2,2,4,11
0,0,0,0,0
22,0,0,0,2
21,0,0,14,15
258,97,136,152,215
0,0,0,0,0
54,0,0,1,8
7,3,4,5,5
126,7,24,54,80
0,0,0,0,0
15,0,6,6,7
0,0,0,0,0
0,0,0,0,0
32,0,1,2,13
26,0,12,13,14
85,5,7,34,60
43,0,0,0,30
3,0,0,0,0
54,0,0,0,9
40,0,0,0,9
40,0,0,0,8
63,0,0,0,15
123,0,19,32,65
31,0,3,6,19
118,0,0,0,26
31,0,23,25,26
0,0,0,0,0
2,0,0,0,0
23,0,0,0,0
16,0,0,1,5
15,0,0,0,9
168,0,0,0,60
15,0,8,9,12
43,0,20,27,32
38,0,0,0,7
34,0,18,26,29
13,0,0,0,1
47,0,0,0,4
0,0,0,0,0
114,22,51,59,84
0,0,0,0,0
89,27,52,63,75
34,17,17,19,22
0,0,0,0,0
25,13,16,19,20
45,21,21,29,30
27,5,5,6,17
67,25,26,27,39
0,0,0,0,0
126,7,43,74,80
16,1,6,12,12
38,4,16,28,38
0,0,0,0,0
0,0,0,0,0
47,0,0,0,22
78,0,7,23,34
85,32,38,46,53
55,0,0,0,11
55,0,0,0,0
26,0,12,12,21
61,0,0,0,3
46,19,20,22,27
0,0,0,0,0
11,0,1,1,7
14,0,3,3,4
88,1,7,25,34
5,0,0,0,2
144,42,87,90,103
34,0,0,0,0
181,2,14,22,57
55,9,9,35,40
1,0,0,0,0
38,0,8,11,25
6,0,0,2,4
2,0,0,0,0
25,0,0,0,0
12,0,0,0,1
16,0,4,10,11
21,0,0,0,0
30,0,0,0,12
26,0,0,0,0
21,0,0,0,10
9,0,6,8,9
0,0,0,0,0
0,0,0,0,0
36,0,19,19,20
23,0,5,6,21
33,0,0,0,2
15,0,3,7,8
0,0,0,0,0
36,15,20,22,27
15,0,7,7,7
35,20,26,26,26
19,7,8,8,8
31,0,19,27,27
55,38,38,40,44
8,0,0,0,0
5,1,1,1,2
50,37,37,37,43
151,24,24,28,40
11,0,0,6,7
0,0,0,0,0
1,0,0,0,0
15,4,8,11,11
11,0,0,0,0
38,10,11,11,27
0,0,0,0,0
9,1,7,8,8
44,4,8,14,19
16,0,13,13,13
80,0,0,0,18
38,0,4,6,18
14,8,9,9,10
101,0,17,26,46
22,6,13,13,15
33,0,17,17,31
259,12,33,47,119
70,0,0,10,11
0,0,0,0,0
109,0,0,2,20
6,0,0,0,0
0,0,0,0,0
39,0,3,12,26
88,0,0,0,0
7,0,0,0,0
69,0,17,18,33
41,0,13,19,23
23,11,14,16,18
0,0,0,0,0
27,0,0,0,0
27,0,0,0,10
7,0,0,0,0
28,0,0,0,14
27,0,0,0,15
0,0,0,0,0
102,0,14,20,46
6,0,0,0,3
15,0,0,0,0
12,7,7,7,7
13,2,2,10,10
20,0,0,0,7
2,1,1,1,1
15,0,0,0,1
61,0,15,18,32
21,5,6,8,18
66,41,56,58,63
40,18,19,20,33
28,15,18,20,23
178,24,30,49,71
34,6,17,18,24
131,0,43,61,65
5,0,0,0,2
30,4,6,7,11
52,0,0,0,0
151,0,74,80,102
36,0,0,0,0
32,0,0,0,6
3,3,3,3,3
16,0,0,0,0
84,0,0,0,45
32,21,22,22,24
22,0,0,0,0
0,0,0,0,0
0,0,0,0,0
229,0,0,13,58
8,0,0,0,0
18,0,0,6,9
24,0,0,5,7
116,0,0,0,53
2,0,0,0,2
11,0,1,4,7
0,0,0,0,0
54,0,14,20,32
0,0,0,0,0
0,0,0,0,0
85,0,0,2,20
0,0,0,0,0
16,0,6,6,6
226,0,0,0,13
4,2,2,4,4
24,15,15,16,19
19,0,0,0,1
88,3,6,14,57
39,0,0,0,8
123,52,67,70,79
0,0,0,0,0
87,43,56,59,69
70,0,0,0,11
76,0,48,55,52
21,0,0,0,10
75,0,0,0,0
13,0,0,0,2
27,0,18,18,21
23,0,3,3,9
82,0,0,0,0
106,0,42,54,80
64,0,0,0,0
8,0,3,4,4
116,0,0,0,15
116,0,0,0,26
12,0,0,0,6
7,0,0,0,2
30,0,0,0,0
13,0,0,0,3
13,3,0,4,8
4,0,0,0,0
4,0,0,0,0
4,0,0,0,0
10,0,0,0,2
14,0,0,0,0
13,0,0,0,0
26,0,0,0,7
72,13,19,23,42
62,2,38,43,49
67,29,34,34,37
44,41,43,43,43
22,5,6,8,11
17,7,9,11,14
68,5,20,22,28
49,0,11,11,36
10,2,2,4,7
2,0,0,0,0
22,0,8,11,12
3,0,1,1,1
97,0,0,1,23
115,4,48,53,86
122,4,13,24,64
41,0,1,1,6
0,0,0,0,0
108,33,41,47,54
0,0,0,0,0
0,0,0,0,0
28,0,21,23,24
0,0,0,0,0
0,0,0,0,0
36,0,0,0,0
0,0,0,0,0
66,0,0,0,0
26,0,0,0,0
65,0,18,20,36
89,0,0,0,21
82,0,0,0,14
102,39,63,69,78
41,0,0,0,0
49,0,0,0,0
23,0,0,0,10
55,0,7,11,25
0,0,0,0,0
3,0,0,0,0
85,0,0,0,60
0,0,0,0,0
6,0,0,0,1
27,0,18,18,22
37,0,2,11,14
0,0,0,0,0
29,0,0,0,0
114,0,2,6,30
61,0,0,2,22
7,0,0,0,0
93,0,0,0,25
1,0,0,0,0
75,11,41,53,54
12,0,0,0,0
30,20,22,24,25
15,2,9,11,11
211,0,0,0,48
0,0,0,0,0
3,0,0,3,3
74,0,0,0,49
19,0,0,3,18
